user,text,clean_text
suncoastcraig,@JoeBiden https://t.co/uY1GvseadT,['joebiden']
DodgingBulletsZ,@JoeBiden A history of bullshit platitudes while accomplishing nothing except self enrichment. Never had a real job… https://t.co/SFha5DHx53,"['joebiden', 'history', 'bullshit', 'latitude', 'accomplishing', 'nothing', 'except', 'self', 'enrichment', 'never', 'real', 'job']"
yosaidwhat,@JoeBiden The people who are literally adding fuel to the fire are actually those left radicals that control you.,"['joebiden', 'people', 'literally', 'adding', 'fuel', 'fire', 'actually', 'left', 'radical', 'control']"
2020TRUMP20201,@JoeBiden Make sure to click on it to read the story behind this pic!! https://t.co/EpHgicF4lJ,"['joebiden', 'make', 'sure', 'click', 'read', 'story', 'behind', 'pic']"
RScott_Davis,@JoeBiden It's easy to calm the waters if you give the radicals everything they want.,"['joebiden', 'easy', 'calm', 'water', 'give', 'radical', 'everything', 'want']"
faithn99,@JoeBiden Your not going to calm anymore by opening boarder .,"['joebiden', 'going', 'calm', 'anymore', 'opening', 'border']"
Mike_NKY1,@JoeBiden DEBATE TRUMP LIVE,"['joebiden', 'debate', 'trump', 'live']"
LuckyPennyGuy1,@JoeBiden 🤣😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸😳😳😳😳😳😳😳😳😳😳😳😳😳… https://t.co/xVxasC7MmZ,"['joebiden', 'rolling', 'floor', 'laughing', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'united', 'state', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face', 'fleshed', 'face']"
CartmanCongress,"@JoeBiden https://t.co/RQzEdBOXoV Joe, you don't even know who you are or who you are running against! You get two… https://t.co/LbqpkOMSvV","['joebiden', 'joe', 'even', 'know', 'running', 'get', 'two']"
cindiet96672722,@JoeBiden We don’t need you!,"['joebiden', 'need']"
Truthist4,"@JoeBiden So you rile the ‘waters’ first by promoting riots, defunding the police, and banning the use of a proven… https://t.co/6Wl90l4Ipt","['joebiden', 'role', 'water', 'first', 'promoting', 'riot', 'defending', 'police', 'banning', 'use', 'proven']"
sgt_rico,@JoeBiden https://t.co/A9Y7dCXcyj,['joebiden']
DSoifert,@JoeBiden https://t.co/lWxekNVArb,['joebiden']
KatieVillada,@JoeBiden https://t.co/VqLjE4F2gh,['joebiden']
pebcav,@JoeBiden Projecting isn’t going to make you win Joe!! I haven’t heard one positive thing come out of the Democratic camp!!,"['joebiden', 'projecting', 'going', 'make', 'win', 'joe', 'heard', 'one', 'positive', 'thing', 'come', 'democratic', 'camp']"
D0nnasue1,@JoeBiden 🇺🇸 T 🇺🇸 R 🇺🇸 U 🇺🇸 M 🇺🇸 P 🇺🇸 2020 https://t.co/opzPRbri3b,"['joebiden', 'united', 'state', 'united', 'state', 'r', 'united', 'state', 'u', 'united', 'state', 'united', 'state', 'p', 'united', 'state', '2020']"
LuvNews247,"@JoeBiden Joe, Democrat leaders like u are stoking &amp; supporting the rioting &amp; looting and now you want us to believ… https://t.co/6230fw7Phq","['joebiden', 'joe', 'democrat', 'leader', 'like', 'u', 'smoking', 'amp', 'supporting', 'rioting', 'amp', 'looting', 'want', 'u', 'believe']"
JoeMoretti11,@JoeBiden How is that Burisma Ukraine investigation going. Where’s Hunter Hidin?,"['joebiden', 'turismo', 'ukraine', 'investigation', 'going', 'hunter', 'hiding']"
JGuapo14,@JoeBiden https://t.co/EphBr4E0iN,['joebiden']
America_1st4ALL,"@JoeBiden Trump doesn’t turn a blind eye to criminals, if doing your job is adding fuel to the fire that Democrats… https://t.co/cXAUn273F3","['joebiden', 'trump', 'turn', 'blind', 'eye', 'criminal', 'job', 'adding', 'fuel', 'fire', 'democrat']"
Kris16587098,"@JoeBiden Joe Biden steals like a raccoon and moves like a turtle!  He accomplished nothing since 1973, including 8… https://t.co/SMG1P0EXkt","['joebiden', 'joe', 'biden', 'steal', 'like', 'raccoon', 'move', 'like', 'turtle', 'accomplished', 'nothing', 'since', '1973', 'including', '8']"
kalpha7,@JoeBiden Thank you,"['joebiden', 'thank']"
CGCC_Balt,@JoeBiden #AmericansForBiden #VoteForOurLives 🇺🇸🔵✔️ https://t.co/Zfz04wyHTG,"['joebiden', 'americansforbiden', 'voteforourlives', 'united', 'state', 'blue', 'circle', 'check', 'mark']"
tgflake,"@JoeBiden ""Will never again be whole""...what kind of leadership is that?  Democrats, the party of pessimism.","['joebiden', 'never', 'whole', 'kind', 'leadership', 'democrat', 'party', 'pessimism']"
GeorgeH06155993,@JoeBiden I hope that I will never forget that trump called this virus a hoax with no facts and people got sick and… https://t.co/P8n0ktpRcO,"['joebiden', 'hope', 'never', 'forget', 'trump', 'called', 'virus', 'hoax', 'fact', 'people', 'got', 'sick']"
songjiari,@JoeBiden 听取医生建议 做好防控才会好起来,"['joebiden', '听取医生建议', '做好防控才会好起来']"
Juju1010Perry,@JoeBiden I hate you Trump for what you have done to all of us💔,"['joebiden', 'hate', 'trump', 'done', 'u', 'broken', 'heart']"
fierritousa,"@JoeBiden @BarackObama 😂😂😂 Joe your pathetic, you can’t even remember things how the hell you gona run a country, j… https://t.co/xsQGYbZSJi","['joebiden', 'barackobama', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'face', 'tear', 'joy', 'joe', 'pathetic', 'even', 'remember', 'thing', 'hell', 'gone', 'run', 'country', 'j']"
jerry1newm,"@JoeBiden @BarackObama Sup with Obama,he has all his cognitive skills you do not .he asked you not to run but Jill didn’t listen.","['joebiden', 'barackobama', 'sup', 'obama', 'cognitive', 'skill', 'asked', 'run', 'jill', 'listen']"
GheorgheLumini3,@JoeBiden @BarackObama You guys are so sweet,"['joebiden', 'barackobama', 'guy', 'sweet']"
CapriMilanRome,@JoeBiden @BarackObama The dream team. We have completely lost the way but we have the opportunity to get back on c… https://t.co/ZJJkCTOXOy,"['joebiden', 'barackobama', 'dream', 'team', 'completely', 'lost', 'way', 'opportunity', 'get', 'back', 'c']"
